??	??	??	??????	??1?id	??2?id	??3?id	??1???	??2???	??3???	??????	??id	????	????????id	????????	unknown01	unknown02	??????	????	unknown03	????	unknown04	unknown05
229	??????	??????????????????*3????????*2	8	841	1038	0	3	2	0	0	1037	1	1037	1	20	20	0	200	0	5	841	0
230	??????	??????????????????*40???????*5	12	841	1030	0	40	5	0	0	1033	1	1033	1	50	50	0	400	0	5	841	0
231	??????	??????????????????*60???????*4	14	841	1033	0	60	4	0	0	1034	1	1034	1	100	100	0	600	0	5	841	0
232	??????	??????????????????*80???????*4	16	841	1034	0	80	4	0	0	1036	1	1036	1	200	200	0	800	0	5	841	0
233	??????	??????????????????*1???????*1	2	841	1055	0	1	1	0	0	1056	1	1056	1	2	2	0	20	0	5	841	0
234	??????	??????????????????*1???????*2	4	841	1056	0	1	2	0	0	1057	1	1057	1	5	5	0	50	0	5	841	0
235	??????	??????????????????*3???????*1	6	841	1058	0	3	1	0	0	1059	1	1059	1	10	10	0	100	0	5	841	0
236	???????	???????????????????*3???????*2	8	841	1059	0	3	2	0	0	1061	1	1061	1	20	20	0	200	0	5	841	0
237	???????	???????????????????*40????????*5	12	841	1060	0	40	5	0	0	1063	1	1063	1	50	50	0	400	0	5	841	0
238	???????	???????????????????*60????????*4	14	841	1063	0	60	4	0	0	1062	1	1062	1	100	100	0	600	0	5	841	0
239	???????	???????????????????*80????????*4	16	841	1062	0	80	4	0	0	1064	1	1064	1	200	200	0	800	0	5	841	0
240	?????	?????????????????*1??????*1	2	841	1090	0	1	1	0	0	1078	1	1078	1	2	2	0	20	0	5	841	0
241	???????	???????????????????*1??????*1	4	841	1078	0	1	1	0	0	1083	1	1083	1	5	5	0	50	0	5	841	0
242	???????	???????????????????*1????????*2	4	841	1083	0	1	2	0	0	1091	1	1091	1	5	5	0	50	0	5	841	0
243	??????	??????????????????*3???????*1	6	841	1085	0	3	1	0	0	1092	1	1092	1	10	10	0	100	0	5	841	0
244	??????	??????????????????*3???????*1	8	841	1085	0	3	1	0	0	1084	1	1084	1	20	20	0	200	0	5	841	0
245	?????	?????????????????*3???????*2	8	841	1092	0	3	2	0	0	1087	1	1087	1	20	20	0	200	0	5	841	0
246	???????	???????????????????*40???????*5	12	841	1080	0	40	5	0	0	1086	1	1086	1	50	50	0	400	0	5	841	0
247	???????	???????????????????*60????????*4	14	841	1086	0	60	4	0	0	1088	1	1088	1	100	100	0	600	0	5	841	0
248	??????	??????????????????*80????????*4	16	841	1088	0	80	4	0	0	1089	1	1089	1	200	200	0	800	0	5	841	0
249	????	???????????????*1????*1	5	842	824	0	1	1	0	0	98	1	98	1	50	50	0	100	0	4	842	0
250	???-10?	?????-10??????????*1????-9?*10	18	842	2209	0	1	10	0	0	2210	1	2210	1	350	350	0	800	0	4	842	0
251	???-10?	?????-10??????????*1????-9?*10	18	842	2219	0	1	10	0	0	2220	1	2220	1	350	350	0	800	0	4	842	0
252	???-10?	?????-10??????????*1????-9?*10	18	842	2229	0	1	10	0	0	2230	1	2230	1	350	350	0	800	0	4	842	0
253	???-10?	?????-10??????????*1????-9?*10	18	842	2239	0	1	10	0	0	2240	1	2240	1	350	350	0	800	0	4	842	0
254	???????	??????????????????*10????*5	3	824	823	0	10	5	0	0	2471	1	0	0	5	0	0	10	0	4	0	0
255	???????	??????????????????????*1????*10	4	2471	824	0	1	10	0	0	2472	1	0	0	5	0	0	10	0	4	0	0
256	???????	??????????????????????*1????*10????*5	5	2472	824	1935	1	10	5	0	2473	1	0	0	5	0	0	10	0	4	0	0
257	???????	??????????????????????*1????*1	6	2473	842	0	1	1	0	0	2474	1	0	0	10	0	0	10	0	4	842	0
258	???????	??????????????????????*1????*1?????*1	7	2474	842	673	1	1	1	0	2475	1	0	0	10	0	0	10	0	4	842	0
259	???????	??????????????????????*1????*3?????*1	8	2475	842	672	1	3	1	0	2476	1	0	0	10	0	0	10	0	4	842	0
260	???????	??????????????????????*1????*6?????*2	9	2476	842	673	1	6	2	0	2477	1	0	0	15	0	0	10	0	4	842	0
261	???????	??????????????????????*1????*12?????*5	10	2477	842	672	1	12	5	0	2478	1	0	0	15	0	0	10	0	4	842	0
262	???????	??????????????????????*1????*30?????*5	11	2478	842	673	1	30	5	0	2479	1	0	0	15	0	0	10	0	4	842	0
263	????(?)	??????(?)?????????*5????*2????*1	0	2491	2492	2493	5	2	1	0	2890	1	0	0	0	0	0	0	0	0	0	1
264	????(?)	??????(?)?????????*5????*4????*2	0	2491	2492	2493	5	4	2	0	2881	1	0	0	0	0	0	0	0	0	0	1
265	????(?)	??????(?)?????????*1????*2????*1	0	2488	2490	2493	1	2	1	0	2882	1	0	0	0	0	0	0	0	0	0	1
266	????(?)	??????(?)?????????*2????*2????*3	0	2488	2489	2490	2	2	3	0	2884	1	0	0	0	0	0	0	0	0	0	1
267	????(?)	??????(?)?????????*1????*1????*1	0	2488	2489	2490	1	1	1	0	2857	1	0	0	0	0	0	0	0	0	0	1
268	????(?)	??????(?)?????????*2????*2????*1	0	2489	2490	2491	2	2	1	0	2858	1	0	0	0	0	0	0	0	0	0	1
269	????(?)	??????(?)?????????*1????*1????*2	0	2488	2489	2491	1	1	2	0	2892	1	0	0	0	0	0	0	0	0	0	1
270	????(?)	??????(?)?????????*2????*1????*1	0	2489	2490	2491	2	1	1	0	2896	1	0	0	0	0	0	0	0	0	0	1
271	????(?)	??????(?)?????????*1????*2????*1	0	2488	2489	2490	1	2	1	0	2907	1	0	0	0	0	0	0	0	0	0	1
272	????	???????????????*10????*3????*3	0	2489	2492	2493	10	3	3	0	2908	1	0	0	0	0	0	0	0	0	0	1
273	??????	?????????????????2????*2????*2?????1????*5	7	7671	836	7670	2	2	5	0	7413	1	0	0	3	0	0	300	0	2	0	0
274	????	???????????????2????*1????*2?????1????*7	7	7671	836	7670	1	2	7	0	7414	1	0	0	3	0	0	300	0	2	0	0
275	????	???????????????*3?????1????*6	7	836	7670	0	3	6	0	0	7416	1	0	0	3	0	0	300	0	2	0	0
276	????	???????????????*2?????1????*10	7	836	7670	0	2	10	0	0	7415	1	0	0	3	0	0	300	0	2	0	0
277	????	???????????????2????*4????*2?????1????*3	7	7671	6103	7670	4	2	3	0	7417	1	0	0	3	0	0	300	0	2	0	0
278	????	???????????????2????*2????*2?????1????*8	7	7671	6103	7670	2	2	8	0	7429	1	0	0	3	0	0	300	0	2	0	0
279	????	??????????????????*8????*6?????1????*18	7	3443	836	7670	8	6	18	0	7418	1	0	0	12	0	0	1200	0	2	3443	0
280	?????	???????????????????*8????*8?????1????*11	7	3443	836	7670	8	8	11	0	7419	1	0	0	12	0	0	1200	0	2	3443	0
281	????	??????????????????*10????*5?????1????*15	7	3443	836	7670	10	5	15	0	7420	1	0	0	12	0	0	1200	0	2	3443	0
282	????	??????????????????*4????*5????2????*15	7	3444	836	7671	4	5	15	0	7421	1	0	0	12	0	0	1200	0	2	3444	0
283	????	??????????????????*12?????1????*28	7	3442	7670	0	12	28	0	0	7422	1	0	0	12	0	0	1200	0	2	3442	0
284	????	???????????????2????*2????*1?????1????*8	7	7671	836	7670	2	1	8	0	7361	1	0	0	12	0	0	1200	0	2	0	0
285	????	???????????????2????*3????*2?????1????*2	7	7671	836	7670	3	2	2	0	7362	1	0	0	12	0	0	1200	0	2	0	0
286	??????	?????????????????2????*1????*1?????1????*10	7	7671	836	7670	1	1	10	0	7363	1	0	0	12	0	0	1200	0	2	0	0
287	????	???????????????2????*1????*2?????1????*8	7	7671	836	7670	1	2	8	0	7364	1	0	0	12	0	0	1200	0	2	0	0
288	????	???????????????2????*2????*3?????1????*1	7	7671	836	7670	2	3	1	0	7365	1	0	0	12	0	0	1200	0	2	0	0
289	??????	?????????????????2????*10????*10?????1????*20	7	7671	6103	7670	10	10	20	0	7366	1	0	0	12	0	0	1200	0	2	0	0
290	????	???????????????2????*15????*6?????1????*18	7	7671	6103	7670	15	6	18	0	7367	1	0	0	12	0	0	1200	0	2	0	0
291	????	???????????????2????*20????*5?????1????*10	7	7671	6103	7670	20	5	10	0	7368	1	0	0	12	0	0	1200	0	2	0	0
292	?????	????????????????2????*15????*10?????1????*10	7	7671	6103	7670	15	10	10	0	7369	1	0	0	12	0	0	1200	0	2	0	0
293	????	??????????????????*10????*6?????1????*12	7	3442	836	7670	10	6	12	0	7370	1	0	0	12	0	0	1200	0	2	3442	0
294	?????	???????????????????*5????*8?????1????*22	7	3442	836	7670	5	8	22	0	7371	1	0	0	12	0	0	1200	0	2	3442	0
295	?????	???????????????????*10????*5?????1????*16	8	3442	836	7670	10	5	16	0	7372	1	0	0	12	0	0	1200	0	2	3442	0
296	????	??????????????????*8????*4?????1????*26	8	3442	836	7670	8	4	26	0	7373	1	0	0	12	0	0	1200	0	2	3442	0
297	?????	???????????????????*8????*8?????1????*10	8	3442	836	7670	8	8	10	0	7374	1	0	0	12	0	0	1200	0	2	3442	0
298	????	??????????????????*7????2????*10?????1????*20	8	3444	7671	7670	7	10	20	0	7375	1	0	0	12	0	0	1200	0	2	3444	0
299	????	??????????????????*12????2????*7?????1????*10	8	3444	7671	7670	12	7	10	0	7376	1	0	0	12	0	0	1200	0	2	3444	0
300	?????	???????????????????*8????2????*12?????1????*12	9	3444	7671	7670	8	12	12	0	7377	1	0	0	12	0	0	1200	0	2	3444	0
301	?????	???????????????????*6????2????*12?????1????*20	9	3444	7671	7670	6	12	20	0	7378	1	0	0	12	0	0	1200	0	2	3444	0
302	????	??????????????????*10???????*5????2????*7	9	3443	3448	7671	10	5	7	0	7379	1	0	0	12	0	0	1200	0	2	3443	0
303	????	??????????????????*8???????*6????2????*8	9	3443	3448	7671	8	6	8	0	7380	1	0	0	12	0	0	1200	0	2	3443	0
304	????	??????????????????*6????2????*12?????1????*20	9	3448	7671	7670	6	12	20	0	7381	1	0	0	12	0	0	1200	0	2	3448	0
305	????	??????????????????*7????2????*10?????1????*20	9	3448	7671	7670	7	10	20	0	7382	1	0	0	12	0	0	1200	0	2	3448	0
306	?????	???????????????????*10????2????*4?????1????*25	10	3448	7671	7670	10	4	25	0	7383	1	0	0	12	0	0	1200	0	2	3448	0
307	????	??????????????????*2?????1????*10????2????*14	10	3442	7670	7671	2	10	14	0	7423	1	0	0	9	0	0	900	0	2	3442	0
308	????	??????????????????*2?????1????*15????2????*12	10	3442	7670	7671	2	15	12	0	7424	1	0	0	9	0	0	900	0	2	3442	0
309	????	??????????????????*2?????1????*20????2????*10	7	3442	7670	7671	2	20	10	0	7425	1	0	0	9	0	0	900	0	2	3442	0
310	?????	???????????????????*3?????1????*12????2????*12	7	3442	7670	7671	3	12	12	0	7426	1	0	0	9	0	0	900	0	2	3442	0
311	???	??????????????*8?????1????*10????2????*10	7	837	7670	7671	8	10	10	0	7427	1	0	0	9	0	0	900	0	2	837	0
312	??	????????????????*4?????3????*4????2????*5	8	3442	7672	7671	4	4	5	0	7428	1	0	0	9	0	0	900	0	2	3442	0
313	????	??????????????????*4???????*4????2????*10	8	3444	3442	7671	4	4	10	0	7471	1	0	0	9	0	0	900	0	2	3444	0
314	???	?????????????????*8????2????*10	7	3447	7671	0	8	10	0	0	7472	1	0	0	9	0	0	900	0	2	3447	0
315	????	???????????????*10?????1????*10????2????*10	7	839	7670	7671	10	10	10	0	7473	1	0	0	9	0	0	900	0	2	839	0
316	????	??????????????????*12????*20????2????*20	7	3448	6103	7671	12	20	20	0	7430	1	0	0	24	0	0	2400	0	2	3448	0
317	????	??????????????????*18????*15????2????*16	8	3448	6103	7671	18	15	16	0	7431	1	0	0	24	0	0	2400	0	2	3448	0
318	????	??????????????????*15????*12????2????*24	8	3448	6103	7671	15	12	24	0	7432	1	0	0	24	0	0	2400	0	2	3448	0
319	????	??????????????????*10????*12????2????*30	7	3448	6103	7671	10	12	30	0	7433	1	0	0	24	0	0	2400	0	2	3448	0
320	????	??????????????????*20????*30????2????*26	7	3444	1933	7671	20	30	26	0	7474	1	0	0	24	0	0	2400	0	2	3444	0
321	???	?????????????????*18????*20????2????*30	7	3444	1933	7671	18	20	30	0	7475	1	0	0	24	0	0	2400	0	2	3444	0
322	????	??????????????????*20????*30????2????*26	8	3443	1933	7671	20	30	26	0	7476	1	0	0	24	0	0	2400	0	2	3443	0
323	????	??????????????????*12?????3????*7????2????*21	8	3444	7672	7671	12	7	21	0	7404	1	0	0	24	0	0	2400	0	2	3444	0
324	????	???????????????????*1???????*1????2????*4	7	3450	3449	7671	1	1	4	0	7354	1	0	0	6	0	0	600	0	5	3450	0
325	????	???????????????????*1???????*2????2????*3	8	3450	3449	7671	1	2	3	0	7355	1	0	0	6	0	0	600	0	5	3450	0
326	????	???????????????????*2???????*1????2????*3	7	3450	3449	7671	2	1	3	0	7356	1	0	0	6	0	0	600	0	5	3450	0
327	??	??10????????????*1??????*48	7	838	715	0	1	48	0	0	7680	10	0	0	1	0	0	100	0	1	838	0
328	??	??10???????*1??????*88	7	838	715	0	1	88	0	0	7681	10	0	0	4	0	0	430	0	1	838	0
329	??	??10????????????*1???????*16	7	838	3010	0	1	16	0	0	7682	10	0	0	6	0	0	640	0	1	838	0
330	??	??5????????????*1???????*18	8	838	3010	0	1	18	0	0	7683	5	0	0	1	0	0	100	0	1	838	0
331	???	??5?????????????*1???????*24	8	838	3010	0	1	24	0	0	7684	5	0	0	2	0	0	200	0	1	838	0
332	????	??????????????????*18?????3????*6????2????*15	7	3444	7672	7671	18	6	15	0	7405	1	0	0	24	0	0	2400	0	2	3444	0
333	??????	????????????????*4????*1	10	833	171	0	4	1	0	100	1249	1	1249	2	12	13	50	40	0	5	0	0
334	??????	????????????????*6????*1	10	833	171	0	6	1	0	100	1250	1	1250	2	12	13	50	40	0	5	0	0
335	??????	????????????????????*1???*3	17	1805	840	0	1	3	0	0	1821	1	1821	1	30	30	0	350	0	2	840	0
336	??????	????????????????????*1???*4	18	1821	840	0	1	4	0	0	1822	1	1822	1	35	35	0	450	0	2	840	0
337	??????	????????????????????*1???*5	20	1822	840	0	1	5	0	0	1823	1	1823	1	45	45	0	550	0	2	840	0
338	??????	?????????????????*2????*1	16	836	837	0	2	1	0	0	1948	1	1948	1	10	11	0	350	0	4	837	0
339	??????	?????????????????*3????*2	18	836	837	0	3	2	0	0	1949	1	1949	1	12	13	0	450	0	4	837	0
340	??????	?????????????????*1????*2???*2	10	838	1214	1216	1	2	2	1000	3018	1	3018	2	30	31	0	150	0	1	838	0
341	?????	??10????????????????*1??????*10	18	4618	1234	0	1	10	0	1000	1239	10	1239	12	70	80	0	240	0	1	0	0
342	???	??10??????????????*1????*10	18	4618	1238	0	1	10	0	1000	1240	10	1240	12	70	80	0	220	0	1	0	0
343	??????	????????????????????*1???*5?????*4	20	1823	840	4618	1	5	4	0	1824	1	1824	1	60	60	0	600	0	2	840	0
344	??????	????????????????????*1???*5?????*8	20	1824	840	4618	1	5	8	0	1825	1	1825	1	80	80	0	700	0	2	840	0
345	??????	?????????????????*3????*2?????*1	18	836	837	4618	3	2	1	0	1950	1	1950	1	15	16	0	450	0	4	837	0
346	??????	?????????????????*5???????*1	15	839	1968	0	5	1	0	0	4442	1	4442	1	30	30	0	500	0	4	839	0
347	????	?????????????*1?????*1????*1	8	6168	6102	6103	1	1	1	0	6101	1	0	0	12	13	0	30	0	4	0	0
348	????	???????????????*1????*1	0	6100	837	0	1	1	0	0	6099	1	0	0	2	3	0	100	0	0	837	0
349	????	??????????????*25?????*40	8	813	818	0	25	40	0	0	6102	1	0	0	5	6	0	30	0	2	0	0
350	???	?????????????*3????*20	10	827	820	0	3	20	0	0	6103	1	0	0	6	7	0	50	0	3	0	0
351	???????	?????????????????*3?????*1?????*1	18	836	6099	6101	3	1	1	0	6109	1	0	0	18	20	0	500	0	4	0	0
352	?????	??10???????????????*1??????*10	18	6100	1239	0	1	10	0	1000	6151	10	6151	12	80	90	0	250	0	1	0	0
353	???	??10?????????????*1????*10	18	6100	1240	0	1	10	0	1000	6152	10	6152	12	80	90	0	230	0	1	0	0
354	??	????????????*30	8	807	0	0	30	0	0	0	6168	1	0	0	12	13	0	50	0	5	0	0
355	?????	???????????????????*6?????3????*2????2????*7	10	3448	7672	7671	6	2	7	0	7387	1	0	0	9	0	0	900	0	2	3448	0
356	?????	???????????????????*8?????1????*5????2????*8	10	3443	7670	7671	8	5	8	0	7390	1	0	0	9	0	0	900	0	2	3443	0
357	?????	???????????????????*8?????1????*12????2????*5	10	3443	7670	7671	8	12	5	0	7391	1	0	0	9	0	0	900	0	2	3443	0
358	?????	?????????????????1????*5?????3????*5????2????*6	10	7670	7672	7671	5	5	6	0	7392	1	0	0	9	0	0	900	0	2	0	0
359	????	???????????????????*8???????*4????2????*4	10	3450	3447	7671	8	4	4	0	7393	1	0	0	9	0	0	900	0	2	3450	0
360	??????	????????????????????*10?????3????*8????2????*20	10	3447	7672	7671	10	8	20	0	7394	1	0	0	24	0	0	2400	0	2	3447	0
361	??????	????????????????????*16?????3????*8????2????*12	10	3447	7672	7671	16	8	12	0	7395	1	0	0	24	0	0	2400	0	2	3447	0
362	????	??????????????????*18?????3????*6????2????*15	10	3448	7672	7671	18	6	15	0	7396	1	0	0	24	0	0	2400	0	2	3448	0
363	??????	????????????????????*12?????3????*5????2????*26	10	3448	7672	7671	12	5	26	0	7397	1	0	0	24	0	0	2400	0	2	3448	0
364	?????	???????????????????*20?????3????*6????2????*12	10	3448	7672	7671	20	6	12	0	7398	1	0	0	24	0	0	2400	0	2	3448	0
365	????	??????????????????*20????*10????2????*12	10	3442	836	7671	20	10	12	0	7399	1	0	0	24	0	0	2400	0	2	3442	0
366	????	??????????????????*16????*15????2????*10	10	3442	836	7671	16	15	10	0	7400	1	0	0	24	0	0	2400	0	2	3442	0
367	?????	???????????????????*18????*8????2????*18	10	3442	836	7671	18	8	18	0	7401	1	0	0	24	0	0	2400	0	2	3442	0
368	?????	???????????????????*15????*12????2????*16	10	3442	836	7671	15	12	16	0	7402	1	0	0	24	0	0	2400	0	2	3442	0
369	?????	???????????????????*20????*6????2????*18	10	3442	836	7671	20	6	18	0	7403	1	0	0	24	0	0	2400	0	2	3442	0
370	?????	???????????????????*14????*12????2????*25	10	3443	6103	7671	14	12	25	0	7406	1	0	0	24	0	0	2400	0	2	3443	0
371	????	??????????????????*15????*20????2????*16	10	3443	6103	7671	15	20	16	0	7407	1	0	0	24	0	0	2400	0	2	3443	0
372	?????	???????????????????*20????*14????2????*14	10	3443	6103	7671	20	14	14	0	7408	1	0	0	24	0	0	2400	0	2	3443	0
373	????	??????????????????*18????*15????2????*16	10	3443	6103	7671	18	15	16	0	7409	1	0	0	24	0	0	2400	0	2	3443	0
374	????	????????????????????*8?????3????*6????2????*30	10	3447	7672	7671	8	6	30	0	7410	1	0	0	24	0	0	2400	0	2	3447	0
375	????	??????????????????*15?????3????*4????2????*25	10	3442	7672	7671	15	4	25	0	7411	1	0	0	24	0	0	2400	0	2	3442	0
376	?????	???????????????????*12?????3????*4????2????*30	10	3442	7672	7671	12	4	30	0	7412	1	0	0	24	0	0	2400	0	2	3442	0
377	????	????????????????1????*35?????????*1?????3????*5	10	7670	7673	7672	35	1	5	0	7434	1	0	0	18	0	0	1800	0	2	0	0
378	????	????????????????1????*30?????????*1?????3????*6	10	7670	7673	7672	30	1	6	0	7435	1	0	0	18	0	0	1800	0	2	0	0
379	?????	?????????????????1????*22?????????*1?????3????*7	10	7670	7673	7672	22	1	7	0	7436	1	0	0	18	0	0	1800	0	2	0	0
380	????	????????????????1????*10?????????*1?????3????*9	10	7670	7673	7672	10	1	9	0	7437	1	0	0	18	0	0	1800	0	2	0	0
381	??	?????????????????*10?????????*1?????3????*5	10	3450	7673	7672	10	1	5	0	7438	1	0	0	18	0	0	1800	0	2	3450	0
382	???	??????????????????*12?????????*1?????3????*4	10	3450	7673	7672	12	1	4	0	7439	1	0	0	18	0	0	1800	0	2	3450	0
383	????	???????????????????*6?????????*1?????3????*7	10	3450	7673	7672	6	1	7	0	7440	1	0	0	18	0	0	1800	0	2	3450	0
384	????	??????????????????*10?????????*2?????3????*24	10	3444	7673	7672	10	2	24	0	7441	1	0	0	61	0	0	6100	0	2	3444	0
385	????	??????????????????*16?????????*2?????3????*20	10	3444	7673	7672	16	2	20	0	7442	1	0	0	61	0	0	6100	0	2	3444	0
386	????	??????????????????*20?????????*2?????3????*18	10	3444	7673	7672	20	2	18	0	7443	1	0	0	61	0	0	6100	0	2	3444	0
387	????	??????????????????*20?????????*2?????3????*18	10	3449	7673	7672	20	2	18	0	7444	1	0	0	61	0	0	6100	0	2	3449	0
388	?????	???????????????????*12?????????*1?????3????*4	12	3447	7673	7672	12	1	4	0	7445	1	0	0	18	0	0	1800	0	5	3447	0
389	?????	???????????????????*6?????????*1?????3????*7	12	3447	7673	7672	6	1	7	0	7446	1	0	0	18	0	0	1800	0	5	3447	0
390	????	??????????????????*10?????????*1?????3????*5	12	3449	7673	7672	10	1	5	0	7447	1	0	0	18	0	0	1800	0	5	3449	0
391	????	??????????????????*10?????????*1?????3????*5	12	3447	7673	7672	10	1	5	0	7448	1	0	0	18	0	0	1800	0	5	3447	0
392	????	???????????????*11?????????*1?????3????*3	12	836	7673	7672	11	1	3	0	7449	1	0	0	18	0	0	1800	0	5	0	0
393	?????	?????????????????1????*14?????????*1????2????*23	12	7670	7673	7671	14	1	23	0	7450	1	0	0	18	0	0	1800	0	2	0	0
394	?????	?????????????????1????*26?????????*1????2????*18	12	7670	7673	7671	26	1	18	0	7451	1	0	0	18	0	0	1800	0	2	0	0
395	?????	????????????????*14?????????*1?????3????*2	12	836	7673	7672	14	1	2	0	7452	1	0	0	18	0	0	1800	0	2	0	0
396	????	??????????????????*10?????????*1?????3????*5	12	3447	7673	7672	10	1	5	0	7453	1	0	0	18	0	0	1800	0	2	3447	0
397	??????	????????????????????*20?????????*3?????3????*7	12	3447	7673	7672	20	3	7	0	7454	1	0	0	61	0	0	6100	0	2	3447	0
398	??????	????????????????????*14?????????*3?????3????*10	12	3447	7673	7672	14	3	10	0	7455	1	0	0	61	0	0	6100	0	2	3447	0
399	??????	????????????????????*20?????????*3?????3????*7	12	3442	7673	7672	20	3	7	0	7456	1	0	0	61	0	0	6100	0	2	3442	0
400	????	??????????????????*14?????????*3?????3????*10	12	3442	7673	7672	14	3	10	0	7457	1	0	0	61	0	0	6100	0	2	3442	0
401	????	???????????????*20?????????*3?????3????*10	12	6103	7673	7672	20	3	10	0	7458	1	0	0	61	0	0	6100	0	2	0	0
402	????	??????????????????*25?????????*3????2????*12	12	3442	7673	7671	25	3	12	0	7459	1	0	0	61	0	0	6100	0	2	3442	0
403	?????	???????????????????*30?????????*3????2????*4	12	3442	7673	7671	30	3	4	0	7460	1	0	0	61	0	0	6100	0	2	3442	0
404	?????	???????????????????*20?????????*3????2????*18	12	3442	7673	7671	20	3	18	0	7461	1	0	0	61	0	0	6100	0	2	3442	0
405	?????	???????????????????*15?????????*3????2????*26	12	3442	7673	7671	15	3	26	0	7462	1	0	0	61	0	0	6100	0	2	3442	0
406	?????	???????????????????*10?????????*3????2????*32	12	3442	7673	7671	10	3	32	0	7463	1	0	0	61	0	0	6100	0	2	3442	0
407	????	??????????????????*10?????????*3?????3????*12	12	3443	7673	7672	10	3	12	0	7464	1	0	0	61	0	0	6100	0	2	3443	0
408	????	??????????????????*20?????????*3?????3????*7	12	3443	7673	7672	20	3	7	0	7465	1	0	0	61	0	0	6100	0	2	3443	0
409	?????	???????????????????*15?????????*3?????3????*9	12	3443	7673	7672	15	3	9	0	7466	1	0	0	61	0	0	6100	0	2	3443	0
410	????	???????????????2????*20?????????*3?????3????*10	12	7671	7673	7672	20	3	10	0	7467	1	0	0	61	0	0	6100	0	2	0	0
411	????	???????????????2????*25?????????*3?????3????*8	12	7671	7673	7672	25	3	8	0	7468	1	0	0	61	0	0	6100	0	2	0	0
412	????	??????????????????*20?????????*3?????3????*7	12	3448	7673	7672	20	3	7	0	7469	1	0	0	61	0	0	6100	0	2	3448	0
413	?????	???????????????????*14?????????*3?????3????*10	12	3448	7673	7672	14	3	10	0	7470	1	0	0	61	0	0	6100	0	2	3448	0
414	????	??????????????????*8?????1????*7????2????*7	10	3447	7670	7671	8	7	7	0	7384	1	0	0	9	0	0	900	0	5	3447	0
415	????	??????????????????*6?????1????*8????2????*10	10	3447	7670	7671	6	8	10	0	7385	1	0	0	9	0	0	900	0	5	3447	0
416	????	???????????????????*8?????1????*10????2????*6	10	3450	7670	7671	8	10	6	0	7386	1	0	0	9	0	0	900	0	5	3450	0
417	????	???????????????????*8????*5????2????*5	10	3450	6103	7671	8	5	5	0	7389	1	0	0	9	0	0	900	0	5	3450	0
418	??	?????????????????*3???????*8????2????*6	10	3450	3449	7671	3	8	6	0	7388	1	0	0	9	0	0	900	0	5	3450	0
419	????	???????????????????*2???????*1?????1????*7	8	3450	3449	7670	2	1	7	0	7357	1	0	0	3	0	0	300	0	5	3450	0
420	????	???????????????????*1???????*1?????1????*10	8	3450	3447	7670	1	1	10	0	7358	1	0	0	3	0	0	300	0	5	3450	0
421	????	???????????????2????*2????*2?????1????*8	8	7671	6103	7670	2	2	8	0	7359	1	0	0	3	0	0	300	0	5	0	0
422	????	??????????????????*2?????1????*10	8	3447	7670	0	2	10	0	0	7360	1	0	0	3	0	0	300	0	5	3447	0
423	????	???????????????*8?????1????*12????2????*10	10	839	7670	7671	8	12	10	0	7477	1	0	0	9	0	0	900	0	2	839	0
424	????????	??10???????????????*10??????*20??????*1	19	1232	712	9196	10	20	1	1500	1234	10	1234	13	25	26	0	180	0	1	0	0
425	??????	??10?????????????*10???*40??????*1	20	1236	716	9197	10	40	1	1500	1238	10	1238	13	25	26	0	180	0	1	0	0
426	?????	????????????????*1???*1	11	804	811	0	1	1	0	0	9196	1	9196	2	4	5	0	20	0	2	0	0
427	?????	????????????????*1???*1	11	804	811	0	1	1	0	0	9197	1	9197	2	4	5	0	20	0	3	0	0
428	??????	?????10??????????*20????*20??????*1	7	803	810	9192	20	20	1	1000	1933	10	1933	13	25	26	0	150	0	3	0	0
429	???????	??????10??????????*20????*20??????*1	4	802	809	9192	20	20	1	1000	1932	10	1932	13	25	26	0	100	0	3	0	0
430	?????	????10??????????*20???*40??????*1	6	802	811	9193	20	40	1	1000	1811	10	1811	13	25	26	0	100	0	2	0	0
431	??????	?????10??????????*20???*20??????*1	9	803	812	9193	20	20	1	1000	1812	10	1812	13	25	26	0	150	0	2	0	0
432	????????	???????10?????????*50????*10?????*1	5	830	171	9194	50	10	1	1000	1254	10	1254	13	25	26	50	200	0	5	0	0
433	????????	???????10?????????*50????*10?????*1	5	830	171	9194	50	10	1	1000	1255	10	1255	13	25	26	50	200	0	5	0	0
434	????????	???????10?????????*50????*10?????*1	5	830	171	9194	50	10	1	1000	1256	10	1256	13	25	26	50	200	0	5	0	0
435	????????	???????10?????????*100????*10?????*1	12	832	171	9195	100	10	1	1000	1260	10	1260	13	25	26	50	300	0	5	0	0
436	?????????	????????10?????????*100????*10?????*1	8	832	171	9194	100	10	1	1000	1261	10	1261	13	25	26	50	350	0	5	0	0
437	?????	????????????????*1???*1	3	801	811	0	1	1	0	100	9192	1	9192	2	2	3	0	10	0	2	0	0
438	?????	????????????????*1???*1	3	801	811	0	1	1	0	100	9193	1	9193	2	2	3	0	10	0	3	0	0
439	????	???????????????*1???*1	3	801	811	0	1	1	0	100	9194	1	9194	2	2	3	0	10	0	1	0	0
440	????	???????????????*1???*1	6	803	811	0	1	1	0	100	9195	1	9195	2	3	4	0	15	0	1	0	0
441	??	????????????????*10?????????*2?????3????*10	10	3443	7673	7672	10	2	10	0	9629	1	0	0	3	0	0	300	0	2	3443	0
442	??	????????????????*20?????????*2?????3????*5	10	3443	7673	7672	20	2	5	0	9630	1	0	0	3	0	0	300	0	2	3443	0
